Time,Price,Volume,Amount,OpenInt,TotalVol,TotalAmount,Price2,Price3,LastClose,Open,High,Low,SP1,SV1,BP1,BV1,isBuy
2018-05-20 08:45:22,20928,8060,0.00,3113,8060,0.000,0.00000,20855,20854,20820,21019,20820,20932,5,20928,7,0
2018-05-20 09:15:02,20870,148,0.00,6810,8208,0.000,0.00000,20855,20854,20820,21019,20820,20885,1,20875,1,0
2018-05-20 09:15:02,20870,3,0.00,6810,8211,0.000,0.00000,20855,20854,20820,21019,20820,20885,2,20870,1,0
2018-05-20 09:15:03,20864,15,0.00,6810,8226,0.000,0.00000,20855,20854,20820,21019,20820,20885,2,20870,1,0
2018-05-20 10:10:11,20864,15,0.00,6810,8226,0.000,0.00000,20855,20854,20820,21019,20820,20885,2,20870,1,0
