Time,Price,Volume,Amount,OpenInt,TotalVol,TotalAmount,Price2,Price3,LastClose,Open,High,Low,SP1,SV1,BP1,BV1,isBuy
2018-05-21 09:15:06,20864,7,0.00,6810,8266,0.000,0.00000,20855,20854,20820,21019,20820,20867,1,20862,1,0
2018-05-21 09:15:06,20867,2,0.00,6810,8268,0.000,0.00000,20855,20854,20820,21019,20820,20867,1,20862,1,1
2018-05-21 09:15:06,20868,1,0.00,6810,8269,0.000,0.00000,20855,20854,20820,21019,20820,20870,4,20864,1,1
2018-05-21 09:15:07,20869,3,0.00,6810,8272,0.000,0.00000,20855,20854,20820,21019,20820,20870,4,20864,1,1
2018-05-21 09:15:07,20870,3,0.00,6810,8275,0.000,0.00000,20855,20854,20820,21019,20820,20871,2,20864,7,1
2018-05-21 09:15:08,20872,7,0.00,6810,8282,0.000,0.00000,20855,20854,20820,21019,20820,20872,2,20865,1,1
2018-05-21 09:15:08,20865,3,0.00,6810,8285,0.000,0.00000,20855,20854,20820,21019,20820,20872,2,20865,1,0
2018-05-21 09:15:09,20864,14,0.00,6810,8299,0.000,0.00000,20855,20854,20820,21019,20820,20870,5,20864,5,0
2018-05-21 11:12:13,20864,14,0.00,6810,8299,0.000,0.00000,20855,20854,20820,21019,20820,20870,5,20864,5,0
