Time,Price,Volume,Amount,OpenInt,TotalVol,TotalAmount,Price2,Price3,LastClose,Open,High,Low,SP1,SV1,BP1,BV1,isBuy
2017-05-20 09:15:11,20862,11,0.00,6810,8328,0.000,0.00000,20855,20854,20820,21019,20820,20861,3,20857,2,1
2017-05-20 09:15:11,20857,10,0.00,6810,8338,0.000,0.00000,20855,20854,20820,21019,20820,20861,3,20857,2,0
2017-05-20 09:15:12,20855,14,0.00,6810,8352,0.000,0.00000,20855,20854,20820,21019,20820,20861,3,20857,2,0
2017-05-20 09:15:12,20854,4,0.00,6810,8356,0.000,0.00000,20855,20854,20820,21019,20820,20859,5,20854,6,0
2017-05-20 09:15:13,20852,1,0.00,6810,8357,0.000,0.00000,20855,20854,20820,21019,20820,20856,2,20853,5,0
2017-05-20 09:15:13,20853,4,0.00,6810,8361,0.000,0.00000,20855,20854,20820,21019,20820,20857,4,20853,6,1
2017-05-20 09:31:13,20853,4,0.00,6810,8361,0.000,0.00000,20855,20854,20820,21019,20820,20857,4,20853,6,1
